  Frames  Seconds        Occurrences                    PDF                    CDF                  1-CDF              1/CDF               1/(1-CDF)
    3250  54.1667     14918746258625  8.087468552180608e-07  1.415463368398284e-05  9.999866541131712e-01           70648.24                    1.00
    3251  54.1833     15586672579901  8.449552136474453e-07  1.499958889763028e-05  9.999858453663160e-01           66668.49                    1.00
    3252  54.2000     16274244705555  8.822285732661725e-07  1.588181747089645e-05  9.999850004111024e-01           62965.09                    1.00
    3253  54.2167     16981745648695  9.205822762455690e-07  1.680239974714202e-05  9.999841181825291e-01           59515.31                    1.00
    3254  54.2333     17709458814251  9.600316859976750e-07  1.776243143313970e-05  9.999831976002529e-01           56298.60                    1.00
    3255  54.2500     18457666268757  1.000592093379938e-06  1.876302352651964e-05  9.999822375685669e-01           53296.31                    1.00
    3256  54.2667     19226651208792  1.042278850509667e-06  1.980530237702930e-05  9.999812369764735e-01           50491.53                    1.00
    3257  54.2833     20016704194188  1.085107708666917e-06  2.089041008569622e-05  9.999801946976230e-01           47868.85                    1.00
    3258  54.3000     20828109622027  1.129094085048396e-06  2.201950417074462e-05  9.999791095899143e-01           45414.28                    1.00
    3259  54.3167     21661148950419  1.174253237528819e-06  2.319375740827344e-05  9.999779804958293e-01           43115.05                    1.00
    3260  54.3333     22516105553167  1.220600527832830e-06  2.441435793610626e-05  9.999768062425918e-01           40959.50                    1.00
    3261  54.3500     23393269596306  1.268151685892703e-06  2.568250962199897e-05  9.999755856420639e-01           38937.00                    1.00
    3262  54.3667     24292924166317  1.316922057857325e-06  2.699943167985629e-05  9.999743174903780e-01           37037.82                    1.00
    3263  54.3833     25215352568755  1.366927001751606e-06  2.836635868160790e-05  9.999730005683202e-01           35253.03                    1.00
    3264  54.4000     26160836859470  1.418181807853812e-06  2.978454048946171e-05  9.999716336413184e-01           33574.46                    1.00
    3265  54.4167     27129660203878  1.470701826591903e-06  3.125524231605361e-05  9.999702154595106e-01           31994.63                    1.00
    3266  54.4333     28122113331887  1.524502818465773e-06  3.277974513451939e-05  9.999687447576839e-01           30506.64                    1.00
    3267  54.4500     29138480516218  1.579600193930505e-06  3.435934532844989e-05  9.999672202548655e-01           29104.16                    1.00
    3268  54.4667     30179043236223  1.636009212012347e-06  3.599535454046224e-05  9.999656406546715e-01           27781.36                    1.00
    3269  54.4833     31244084798912  1.693745230815086e-06  3.768909977127732e-05  9.999640046454595e-01           26532.87                    1.00
    3270  54.5000     32333895435129  1.752823983784300e-06  3.944192375506162e-05  9.999623109002287e-01           25353.73                    1.00
    3271  54.5167     33448758310178  1.813260821341878e-06  4.125518457640350e-05  9.999605580762450e-01           24239.38                    1.00
    3272  54.5333     34588956627669  1.875071095986281e-06  4.313025567238978e-05  9.999587448154236e-01           23185.58                    1.00
    3273  54.5500     35754772431179  1.938270097330455e-06  4.506852576972024e-05  9.999568697443276e-01           22188.43                    1.00
    3274  54.5667     36946488856996  2.002873174223327e-06  4.707139894394356e-05  9.999549314742303e-01           21244.32                    1.00
    3275  54.5833     38164396804552  2.068896096354706e-06  4.914029504029827e-05  9.999529286010560e-01           20349.90                    1.00
    3276  54.6000     39408780424143  2.136354267543003e-06  5.127664930784127e-05  9.999508597049597e-01           19502.05                    1.00
    3277  54.6167     40679921212267  2.205262947743952e-06  5.348191225558523e-05  9.999487233506922e-01           18697.91                    1.00
    3278  54.6333     41978102412370  2.275637491615527e-06  5.575754974720075e-05  9.999465180877444e-01           17934.79                    1.00
    3279  54.6500     43303614318248  2.347493636015944e-06  5.810504338321670e-05  9.999442424502528e-01           17210.21                    1.00
    3280  54.6667     44656740176165  2.420846735755940e-06  6.052589011897264e-05  9.999418949566168e-01           16521.86                    1.00
    3281  54.6833     46037763086894  2.495712137759172e-06  6.302160225673181e-05  9.999394741098810e-01           15867.57                    1.00
    3282  54.7000     47446965079774  2.572105130866742e-06  6.559370738759855e-05  9.999369783977433e-01           15245.36                    1.00
    3283  54.7167     48884629299686  2.650041064393405e-06  6.824374845199196e-05  9.999344062926124e-01           14653.36                    1.00
    3284  54.7333     50351046708725  2.729535711425938e-06  7.097328416341789e-05  9.999317562515480e-01           14089.81                    1.00
    3285  54.7500     51846501441045  2.810604474907691e-06  7.378388863832558e-05  9.999290267158366e-01           13553.09                    1.00
    3286  54.7667     53371274974445  2.893262613780725e-06  7.667715125210631e-05  9.999262161113617e-01           13041.69                    1.00
    3287  54.7833     54925650489432  2.977525479291084e-06  7.965467673139739e-05  9.999233228487479e-01           12554.19                    1.00
    3288  54.8000     56509918341560  3.063408811644890e-06  8.271808554304228e-05  9.999203453232686e-01           12089.25                    1.00
    3289  54.8167     58124363155848  3.150928040395341e-06  8.586901358343763e-05  9.999172819144569e-01           11645.64                    1.00
    3290  54.8333     59769266667384  3.240098438432159e-06  8.910911202186978e-05  9.999141309864166e-01           11222.20                    1.00
    3291  54.8500     61444910822190  3.330935290079824e-06  9.244004731194961e-05  9.999108908879781e-01           10817.82                    1.00
    3292  54.8667     63151578807968  3.423453946974422e-06  9.586350125892403e-05  9.999075599526881e-01           10431.50                    1.00
    3293  54.8833     64889561651081  3.517670185686705e-06  9.938117144461074e-05  9.999041364987411e-01           10062.27                    1.00
    3294  54.9000     66659143468638  3.613599408236012e-06  1.029947708528467e-04  9.999006188285554e-01            9709.23                    1.00
    3295  54.9167     68460605755143  3.711256874469983e-06  1.067060277273167e-04  9.998970052291472e-01            9371.54                    1.00
    3296  54.9333     70294231558155  3.810657928427538e-06  1.105166856557443e-04  9.998932939722727e-01            9048.41                    1.00
    3297  54.9500     72160311327515  3.911818315426106e-06  1.144285039711704e-04  9.998894833143442e-01            8739.08                    1.00
    3298  54.9667     74059129776629  4.014753469810354e-06  1.184432574409807e-04  9.998855714960289e-01            8442.86                    1.00
    3299  54.9833     75990968565892  4.119478660420889e-06  1.225627361014016e-04  9.998815567425591e-01            8159.09                    1.00
    3300  55.0000     77956109560122  4.226009167180114e-06  1.267887452685817e-04  9.998774372638985e-01            7887.14                    1.00
    3301  55.0167     79954835988861  4.334360343992265e-06  1.311231056125740e-04  9.998732112547314e-01            7626.42                    1.00
    3302  55.0333     81987438943269  4.444547970940745e-06  1.355676535835147e-04  9.998688768943874e-01            7376.39                    1.00
    3303  55.0500     84054202523546  4.556587449128257e-06  1.401242410326430e-04  9.998644323464165e-01            7136.52                    1.00
    3304  55.0667     86155408240316  4.670494039276307e-06  1.447947350719193e-04  9.998598757589674e-01            6906.33                    1.00
    3305  55.0833     88291339009453  4.786283078285155e-06  1.495810181502045e-04  9.998552052649281e-01            6685.34                    1.00
    3306  55.1000     90462285372017  4.903970316417225e-06  1.544849884666217e-04  9.998504189818498e-01            6473.12                    1.00
    3307  55.1167     92668532134609  5.023571193069293e-06  1.595085596596910e-04  9.998455150115334e-01            6269.26                    1.00
    3308  55.1333     94910360877888  5.145100972759470e-06  1.646536606324504e-04  9.998404914403403e-01            6073.35                    1.00
    3309  55.1500     97188053389668  5.268574931235762e-06  1.699222355636862e-04  9.998353463393675e-01            5885.04                    1.00
